Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,1,Not Graduate,No,9726,4402,289.0,120,0.0,Urban,Rejected
Male,,2,Not Graduate,No,2499,6314,397.0,300,1.0,Urban,Rejected
Female,Yes,1,Not Graduate,No,11642,625,221.0,360,1.0,Semiurban,Approved
Female,No,0,Not Graduate,No,7532,533,169.0,360,1.0,Semiurban,Approved
Male,Yes,2,Not Graduate,Yes,2194,6798,234.0,300,1.0,Urban,Approved
Female,Yes,0,Graduate,No,7021,483,106.0,120,1.0,Semiurban,Approved
Female,No,0,Not Graduate,No,7374,4910,89.0,300,1.0,Rural,Approved
Female,Yes,1,Graduate,No,2670,7505,,180,0.0,Rural,Rejected
Male,Yes,2,Graduate,No,14947,4917,338.0,360,,Semiurban,Rejected
Male,Yes,3+,Graduate,No,4501,3848,236.0,300,1.0,Semiurban,Approved
Male,Yes,0,Not Graduate,No,5963,3338,323.0,360,1.0,Urban,Approved
Female,,0,Not Graduate,No,7452,5105,112.0,360,0.0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,12738,4574,207.0,360,1.0,Urban,Approved
Female,Yes,0,Not Graduate,Yes,11529,4014,264.0,360,1.0,Semiurban,Approved
Male,Yes,0,Not Graduate,Yes,11908,1228,171.0,360,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,4700,5301,54.0,360,1.0,Urban,Approved
Male,No,1,Graduate,No,12913,5918,75.0,360,1.0,Urban,Approved
Male,Yes,3+,Graduate,Yes,12701,5670,,120,1.0,Urban,Approved
Female,No,2,Not Graduate,No,7762,600,261.0,300,1.0,Rural,Approved
Male,No,2,Graduate,No,8868,5623,142.0,180,0.0,Semiurban,Approved
Female,Yes,0,Not Graduate,No,2001,5838,140.0,360,1.0,Urban,Approved
Male,Yes,0,Graduate,No,11765,1467,63.0,360,0.0,Rural,Approved
Female,Yes,1,Not Graduate,No,14472,6791,380.0,300,1.0,Semiurban,Approved
Female,No,0,Graduate,No,7879,4190,87.0,180,0.0,Semiurban,Approved
Female,No,0,Not Graduate,No,8796,3779,,240,0.0,Rural,Rejected
Male,No,0,Graduate,No,8239,5781,134.0,360,0.0,Urban,Approved
Male,Yes,0,Graduate,No,2615,4078,167.0,180,1.0,Urban,Approved
Male,No,1,Not Graduate,No,9866,4357,145.0,120,1.0,Semiurban,Approved
Male,Yes,2,Not Graduate,No,11239,2497,338.0,360,0.0,Urban,Rejected
Female,No,0,Not Graduate,No,14027,7423,61.0,360,1.0,Semiurban,Approved
Female,Yes,1,Graduate,No,14052,7755,173.0,180,1.0,Urban,Approved
Female,No,2,Graduate,No,8139,1043,147.0,240,1.0,Urban,Approved
Male,No,2,Graduate,No,14446,5864,145.0,360,1.0,Urban,Approved
Male,Yes,2,Graduate,No,8636,186,117.0,360,1.0,Semiurban,Approved
Male,No,1,Graduate,Yes,10167,2951,369.0,360,0.0,Urban,Rejected
Male,Yes,2,Not Graduate,No,9626,7759,182.0,240,1.0,Urban,Approved
Male,No,0,Not Graduate,Yes,14982,1398,196.0,240,1.0,Rural,Approved
Male,Yes,0,Not Graduate,No,11456,3015,184.0,120,0.0,Urban,Rejected
Male,No,0,Not Graduate,No,3120,1756,393.0,360,1.0,Semiurban,Rejected
Female,Yes,1,Not Graduate,No,2469,5825,168.0,120,1.0,Urban,Approved
Male,No,0,Graduate,No,7033,3711,169.0,120,1.0,Semiurban,Approved
Female,No,0,Graduate,No,8461,4744,164.0,360,1.0,Urban,Approved
Female,Yes,2,Graduate,No,10526,7540,164.0,360,1.0,Semiurban,Approved
Male,No,0,Not Graduate,No,8001,4168,81.0,360,1.0,Urban,Approved
Female,No,0,Graduate,No,8447,5873,261.0,300,1.0,Rural,Approved
Female,No,0,Graduate,No,13942,783,58.0,300,0.0,Rural,Approved
Male,Yes,1,Graduate,No,6020,1721,129.0,300,0.0,Urban,Approved
Male,Yes,0,Graduate,No,8162,7574,120.0,240,1.0,Urban,Approved
Female,Yes,0,Graduate,No,9024,6876,152.0,300,0.0,Urban,Approved
Male,No,0,Not Graduate,No,7822,5253,314.0,300,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,14569,3025,259.0,300,1.0,Urban,Approved
,Yes,3+,Graduate,No,14489,1598,,360,1.0,Rural,Approved
Female,Yes,1,Not Graduate,No,8427,6813,172.0,360,1.0,Rural,Approved
Female,Yes,1,Graduate,No,7582,6282,374.0,120,1.0,Rural,Approved
Female,Yes,3+,Not Graduate,No,9451,1933,65.0,240,1.0,Semiurban,Approved
Female,No,3+,Graduate,No,3941,4718,226.0,180,1.0,Rural,Approved
Male,No,1,Graduate,No,7250,4949,329.0,240,1.0,Urban,Approved
Male,Yes,3+,Graduate,No,4428,3819,236.0,240,,Semiurban,Rejected
Male,Yes,3+,Graduate,No,3444,7413,376.0,180,1.0,Urban,Approved
Male,No,2,Not Graduate,Yes,2785,992,160.0,360,1.0,Rural,Approved
Female,Yes,1,Graduate,Yes,9425,2063,61.0,300,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,1507,760,320.0,360,1.0,Rural,Rejected
Male,Yes,0,Graduate,No,10223,5543,73.0,120,1.0,Urban,Approved
Female,No,1,Not Graduate,No,7331,5152,317.0,120,0.0,Rural,Rejected
Male,Yes,1,Not Graduate,No,6447,7898,306.0,300,1.0,Semiurban,Approved
Male,No,1,Not Graduate,No,11884,4338,345.0,120,1.0,Semiurban,Approved
Male,No,1,Graduate,No,8773,1204,217.0,240,1.0,Rural,Approved
Male,Yes,1,Graduate,No,11401,3607,363.0,360,1.0,Semiurban,Approved
Male,No,2,Graduate,Yes,11077,707,109.0,180,1.0,Semiurban,Approved
Male,No,0,Graduate,Yes,1934,5367,202.0,180,1.0,Semiurban,Approved
Male,Yes,0,Not Graduate,No,4409,5393,92.0,300,0.0,Urban,Rejected
Male,Yes,2,Not Graduate,No,9194,6861,318.0,300,0.0,Urban,Approved
Female,Yes,2,Graduate,No,14669,2717,299.0,300,1.0,Urban,Approved
Male,Yes,3+,Graduate,No,3582,2480,332.0,240,,Urban,Rejected
Male,Yes,3+,Not Graduate,No,2925,569,317.0,360,1.0,Rural,Rejected
Male,No,3+,Graduate,No,14204,3321,157.0,180,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,14551,3802,73.0,300,1.0,Semiurban,Approved
Female,Yes,1,Graduate,No,3759,6035,375.0,360,1.0,Semiurban,Rejected
Male,No,0,Graduate,No,6923,6030,222.0,360,0.0,Semiurban,Approved
Female,Yes,1,Graduate,No,9959,1122,83.0,240,1.0,Semiurban,Approved
Female,No,3+,Graduate,No,4135,2280,374.0,300,0.0,Rural,Rejected
Male,No,0,Graduate,No,5904,4091,397.0,120,1.0,Rural,Rejected
Female,Yes,1,Graduate,No,6836,2680,205.0,180,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,10161,204,319.0,120,1.0,Urban,Approved
Male,No,0,Graduate,Yes,5658,6765,62.0,360,1.0,Semiurban,Approved
Male,No,0,Not Graduate,No,7065,5850,82.0,240,,Semiurban,Approved
Female,No,0,Not Graduate,No,5409,4160,146.0,360,1.0,Semiurban,Approved
Male,Yes,3+,Graduate,No,11755,2539,279.0,120,1.0,Semiurban,Approved
Male,No,1,Graduate,No,3565,6741,96.0,360,1.0,Semiurban,Approved
Male,No,2,Not Graduate,No,4614,282,61.0,360,1.0,Urban,Approved
Male,Yes,2,Graduate,No,4874,3571,284.0,120,1.0,Urban,Approved
Female,Yes,0,Graduate,No,13728,6407,319.0,120,1.0,Semiurban,Approved
Male,No,0,Not Graduate,No,14250,7623,308.0,120,1.0,Urban,Approved
Male,Yes,2,Graduate,No,8252,2011,329.0,360,1.0,Urban,Approved
Male,Yes,0,Not Graduate,Yes,3611,5206,330.0,180,1.0,Semiurban,Rejected
Male,No,3+,Graduate,No,11707,1517,260.0,300,1.0,Semiurban,Approved
Male,Yes,0,Graduate,No,8143,927,231.0,300,1.0,Urban,Approved
Male,Yes,2,Graduate,Yes,12971,2824,349.0,360,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,6359,7080,171.0,300,1.0,Rural,Approved
Female,Yes,0,Graduate,Yes,14984,5515,84.0,300,0.0,Urban,Rejected
Female,No,0,Graduate,No,12394,3914,313.0,360,0.0,Rural,Rejected
Female,No,3+,Not Graduate,No,4523,2262,146.0,180,1.0,Rural,Approved
Male,Yes,0,Graduate,No,11294,1133,392.0,360,1.0,Semiurban,Approved
Female,No,1,Graduate,No,5373,2166,194.0,120,1.0,Semiurban,Approved
Female,No,1,Not Graduate,No,6222,1221,348.0,300,0.0,Urban,Rejected
Female,Yes,0,Not Graduate,No,4880,1496,64.0,360,1.0,Rural,Approved
Male,No,2,Graduate,No,10709,5500,280.0,360,1.0,Semiurban,Approved
Male,,2,Graduate,No,5048,1061,206.0,360,1.0,Rural,Approved
Male,No,0,Not Graduate,No,10123,378,211.0,240,0.0,Semiurban,Rejected
Female,No,2,Graduate,No,9363,4338,142.0,300,1.0,Urban,Approved
Male,No,0,Not Graduate,No,11635,2292,389.0,240,1.0,Urban,Approved
Male,Yes,0,Not Graduate,No,14912,3637,187.0,300,1.0,Semiurban,Approved
Male,No,1,Not Graduate,No,1619,1118,347.0,300,1.0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,14868,1679,198.0,240,1.0,Urban,Approved
Male,Yes,0,Graduate,No,2976,3528,66.0,240,1.0,Semiurban,Approved
Female,Yes,0,Graduate,Yes,8611,5520,357.0,240,1.0,Rural,Approved
Female,No,1,Graduate,No,6102,3314,114.0,240,1.0,Semiurban,Approved
Female,Yes,2,Not Graduate,No,10126,4333,144.0,180,1.0,Semiurban,Approved
Male,No,0,Graduate,No,11243,4175,351.0,360,1.0,Urban,Approved
Male,No,0,Graduate,No,13109,2150,362.0,360,1.0,Rural,Approved
Male,Yes,2,Graduate,No,6926,2237,370.0,180,1.0,Urban,Approved
Male,Yes,0,Not Graduate,No,14094,3405,199.0,360,1.0,Rural,Approved
Male,Yes,0,Graduate,No,5852,256,314.0,360,1.0,Semiurban,Rejected
Male,No,0,Graduate,No,4252,5483,164.0,180,0.0,Semiurban,Approved
Male,No,1,Graduate,No,6618,4915,309.0,180,1.0,Urban,Approved
Male,Yes,1,Graduate,No,8635,2449,225.0,120,1.0,Urban,Approved
Male,No,3+,Graduate,No,10520,2989,68.0,120,1.0,Rural,Approved
Male,Yes,1,Graduate,No,12743,2629,196.0,360,0.0,Semiurban,Approved
Male,No,2,Graduate,No,4535,5210,213.0,360,1.0,Semiurban,Approved
Male,No,3+,Graduate,No,5593,6077,140.0,120,1.0,Rural,Approved
Male,No,1,Graduate,No,14172,869,181.0,360,1.0,Rural,Approved
Female,No,1,Graduate,No,7437,3306,225.0,120,1.0,Rural,Approved
Male,No,3+,Graduate,No,4761,110,67.0,300,1.0,Urban,Approved
Male,Yes,0,Graduate,No,14805,3617,103.0,360,1.0,Semiurban,Approved
Male,Yes,2,Graduate,No,7561,1986,318.0,240,1.0,Rural,Approved
Male,Yes,2,Graduate,No,14798,2686,173.0,120,1.0,Semiurban,Approved
Female,Yes,0,Graduate,Yes,13910,3652,262.0,300,0.0,Urban,Approved
Male,No,1,Graduate,Yes,13732,2589,248.0,360,1.0,Rural,Approved
Female,No,0,Graduate,No,9354,3152,242.0,240,0.0,Semiurban,Approved
Male,No,0,Graduate,No,12279,6118,194.0,180,1.0,Semiurban,Approved
Male,Yes,1,Not Graduate,No,14467,6482,219.0,180,1.0,Rural,Approved
Male,No,0,Graduate,Yes,5133,46,338.0,300,1.0,Semiurban,Rejected
Female,Yes,2,Graduate,No,2009,3022,387.0,300,1.0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,5831,6775,139.0,360,1.0,Semiurban,Approved
Male,No,2,Graduate,No,10098,4243,284.0,360,1.0,Semiurban,Approved
Male,No,0,Graduate,No,8888,1642,389.0,360,1.0,Urban,Approved
Male,No,0,Not Graduate,No,2587,4748,52.0,360,,Rural,Approved
Male,Yes,0,Not Graduate,No,9070,1159,324.0,180,1.0,Rural,Approved
Male,No,0,Graduate,Yes,3854,174,223.0,300,0.0,Urban,Rejected
Male,Yes,3+,Graduate,No,8324,5059,388.0,240,0.0,Urban,Rejected
Female,No,1,Graduate,Yes,9271,4121,252.0,240,1.0,Rural,Approved
